concept,text,pleasant,attention,sensitivity,aptitude,polarity
abortus,abortus,0.581,-0.511,0,0.523,0.538
above,above,-0.569,0,0.954,-0.804,-0.776
above_earth,above earth,0,0.09,0,0.066,0.052
above_leg,above leg,0.023,0.085,-0.045,0.088,0.05
abrade,abrade,-0.992,0,0.869,-0.604,-0.822
abrasion,abrasion,-0.101,0,-0.056,-0.099,-0.085
abrasive,abrasive,-0.061,0,0,-0.037,-0.033
abridge,abridge,0.63,-0.696,0,0.865,0.73
abridgement,abridgement,0,0.175,0.084,0.133,0.075
abroad,abroad,0,0.766,0,0,0.255
abrupt,abrupt,-0.732,0,0.865,-0.878,-0.825
abruptness,abruptness,-0.566,0,0.828,-0.689,-0.694
abscessed,abscessed,-0.657,0,0.995,-0.625,-0.759
absence,absence,-0.561,0,-0.493,-0.093,-0.382
absence_of_danger,absence of danger,0.046,-0.66,0,0.365,0.357
absence_of_light,absence of light,-0.707,-0.373,0.185,-0.31,-0.276
absence_of_risk,absence of risk,0.046,-0.66,0,0.365,0.357
absence_seizure,absence seizure,0.947,-0.562,0,0.875,0.795
absent,absent,-0.472,0.41,-0.196,-0.179,-0.146
absentee,absentee,-0.514,0,0.63,-0.842,-0.662
absolute,absolute,0.295,0.239,0.049,0.346,0.277
absolute_alcohol,absolute alcohol,-0.915,0,0.65,-0.594,-0.72
absolute_pitch,absolute pitch,0.785,-0.995,0,0.981,0.92
absolutely,absolutely,0.77,0,0,0.996,0.589
absolution,absolution,0.901,0,0,0.916,0.606
absolutism,absolutism,-0.837,0,0.858,-0.795,-0.83
absolved,absolved,0.913,-0.745,0,0.703,0.787
absolvitory,absolvitory,0.579,-0.541,0,0.784,0.635
absorb,absorb,0.869,-0.598,0,0.66,0.709
absorb_information,absorb information,0.757,0.896,0,0.538,0.73
absorb_moisture,absorb moisture,0,0.799,0,0,0.266
absorb_water,absorb water,0,0.184,-0.051,0.179,0.104
absorbing,absorbing,0.566,-0.912,0,0.599,0.692
absorption,absorption,-0.643,0,0.938,-0.521,-0.701
abstemious,abstemious,0.555,-0.914,0,0.601,0.69
abstemiousness,abstemiousness,-0.741,0,0.585,-0.583,-0.636
abstinence,abstinence,-0.998,0,0.893,-0.703,-0.865
abstinent,abstinent,0.555,-0.914,0,0.601,0.69
abstract,abstract,0,0.309,-0.105,0.266,0.157
abstract_concept,abstract concept,0,0,0,0.745,0.248
abstract_think,abstract think,-0.022,0.182,0.043,0,0.039
abstract_thought,abstract thought,0.725,-0.76,0,0.51,0.665
abstraction,abstraction,0.144,0.291,-0.075,0.296,0.219
absurd,absurd,0.649,-0.74,0,0.749,0.713
absurdity,absurdity,-0.962,0,0.261,-0.95,-0.724
abundance,abundance,0,0.184,-0.051,0.179,0.104
abundant,abundant,-0.083,0.168,-0.069,0.189,0.068
abuse,abuse,-0.25,-0.033,-0.157,-0.287,-0.22
abysmal,abysmal,-0.808,0,0.761,-0.705,-0.758
academic_administrator,academic administrator,-0.801,0,0.522,-0.83,-0.718
academic_requirement,academic requirement,0.695,-0.856,0,0.501,0.684
academy,academy,0.739,0.825,0,0.782,0.782
acarophobia,acarophobia,-0.57,0,0.814,-0.936,-0.773
acarpous,acarpous,-0.705,0,0.919,-0.732,-0.785
acataphasia,acataphasia,-0.953,0,0.621,-0.725,-0.766
accelerator,accelerator,0.562,-0.777,0,0.962,0.767
accent,accent,0.982,-0.701,0,0.527,0.737
accept,accept,0.972,0,0,0.894,0.622
acceptability,acceptability,-0.997,0,0.878,-0.957,-0.944
acceptable,acceptable,0.258,0.357,-0.088,0.351,0.293
acceptableness,acceptableness,-0.997,0,0.878,-0.957,-0.944
acceptance,acceptance,0,0,0,0.3,0.1
acceptation,acceptation,0.577,-0.77,0,0.517,0.621
accepted,accepted,0.683,-0.553,0,0.552,0.596
access,access,0.825,0,0,0.703,0.509
access_computer,access computer,0,0.85,0,0.847,0.566
access_internet,access internet,0.827,0.732,0,0.769,0.776
accessary,accessary,0.9,-0.742,0,0.721,0.788
accessible,accessible,0.859,-0.81,0,0.615,0.761
accessorial,accessorial,-0.819,0,0.987,-0.641,-0.816
accessorize_outfit,accessorize outfit,0.152,0.114,-0.103,0.21,0.124
accessory,accessory,0,0.075,0.028,0.173,0.073
accident,accident,-0.708,-0.802,0.955,0,-0.287
accident_game,accident game,-0.931,0,0.945,-0.932,-0.936
accident_happen,accident happen,-0.817,-0.876,-0.919,0,-0.287
accidental,accidental,-0.819,0,0.987,-0.641,-0.816
acclaim,acclaim,0.853,0.828,0,0.98,0.887
acclamation,acclamation,0.029,0.081,-0.114,0.089,0.028
accolade,accolade,0.232,0.178,-0.172,0.223,0.154
accommodate,accommodate,0.62,-0.917,0,0.766,0.768
accommodation,accommodation,0,0.119,0,0.095,0.071
accomplice,accomplice,0.041,0.143,-0.277,0.177,0.028
accomplish,accomplish,0.907,0,0,0.79,0.566
accomplish_goal,accomplish goal,0.228,0.185,-0.076,0.308,0.215
accomplish_mission,accomplish mission,0.506,0.659,-0.246,0.242,0.387
accomplish_task,accomplish task,0.532,0.657,-0.257,0.268,0.4
accomplished,accomplished,0,0,0,0.819,0.273
accomplishment,accomplishment,0.122,0,0,0.107,0.076
accord,accord,0.824,0,0,0,0.275
accordant,accordant,0.509,-0.626,0,0.786,0.64
according,according,0.509,-0.626,0,0.786,0.64
accost,accost,0.505,-0.732,0,0.743,0.66
account,account,0,0.259,0,0.055,0.105
account_book,account book,0.041,0.119,0.017,0,0.048
account_department,account department,0.026,0.082,0,0,0.036
account_payable,account payable,0.628,-0.607,0,0.532,0.589
account_term,account term,-0.028,0.307,-0.07,0.179,0.129
accountant,accountant,-0.075,0.228,0.019,0.089,0.074
accountant_office,accountant office,0.026,0.082,0,0,0.036
accounting,accounting,0.671,-0.574,0,0.879,0.708
accouterment,accouterment,-0.741,0,0.722,-0.562,-0.675
accoutrement,accoutrement,-0.899,0,0.795,-0.64,-0.778
accredited,accredited,-0.784,0,0.657,-0.868,-0.77
accretion,accretion,0.942,-0.798,0,0.901,0.88
acculturation,acculturation,0.868,0.99,0,0,0.619
accumulate,accumulate,0.02,0.131,-0.081,0.279,0.116
accumulate_knowledge,accumulate knowledge,0.774,0.728,0,0.932,0.811
accumulate_stress,accumulate stress,-0.983,0,0.058,-0.921,-0.654
accumulation,accumulation,0.553,-0.8,0,0.908,0.754
accuracy,accuracy,0.043,0.067,0.012,0,0.033
accurate,accurate,0.043,0.067,0.012,0,0.033
accurse,accurse,-0.655,0,0.754,-0.937,-0.782
accusation,accusation,-0.708,0,0.874,-0.75,-0.777
accusative,accusative,-0.827,0,0.81,-0.617,-0.751
accusatory,accusatory,-0.953,0,0.771,-0.677,-0.8
accuse,accuse,-0.068,0,-0.099,-0.188,-0.118
accuse_person,accuse person,-0.068,0,-0.099,-0.188,-0.118
accuser,accuser,-0.068,0,-0.099,-0.188,-0.118
accusing,accusing,-0.953,0,0.771,-0.677,-0.8
accusive,accusive,-0.953,0,0.771,-0.677,-0.8
ace,ace,-0.049,0.11,-0.057,0.172,0.059
acerbity,acerbity,-0.991,0,0.744,-0.74,-0.825
acetabulum,acetabulum,0.681,-0.632,0,0.647,0.653
acetaminophen,acetaminophen,-0.808,0,0.97,-0.758,-0.845
acetify,acetify,-0.707,0,0.518,-0.514,-0.58
acetone,acetone,0.843,-0.958,0,0.648,0.816
ache,ache,-0.767,0,-0.743,-0.716,-0.742
achene,achene,0,0.141,0.01,0.115,0.082
achievability,achievability,-0.968,0,0.603,-0.915,-0.829
achievable,achievable,0.036,0.232,-0.057,0.192,0.134
achieve,achieve,0.981,0.855,0,0.884,0.907
achieve_goal,achieve goal,0,0.083,0,0.148,0.077
achievement,achievement,0.177,0.308,-0.065,0.329,0.25
achiever,achiever,0.701,-0.596,0,0.908,0.735
aching,aching,-0.74,0,0.872,-0.616,-0.743
achromasia,achromasia,-0.665,0,0.782,-0.529,-0.659
achromatic,achromatic,-0.7,0,0.617,-0.523,-0.613
achromatic_color,achromatic color,-0.749,0,0.876,-0.595,-0.74
acid,acid,0.071,0,-0.085,-0.09,-0.035
acid_indigestion,acid indigestion,-0.029,-0.041,0,-0.129,-0.039
acidemia,acidemia,-0.503,0,0.696,-0.644,-0.614
acidify,acidify,-0.707,0,0.518,-0.514,-0.58
acidity,acidity,-0.991,0,0.744,-0.74,-0.825
acidophil,acidophil,0.905,-0.659,0,0.851,0.805
acidophile,acidophile,0.905,-0.659,0,0.851,0.805
acidophilus,acidophilus,-0.998,0,0.987,-0.965,-0.983
acidulate,acidulate,-0.707,0,0.518,-0.514,-0.58
acidulousness,acidulousness,-0.78,0,0.969,-0.785,-0.845
acknowledge,acknowledge,-0.109,0.242,-0.072,0.165,0.075
acknowledgeable,acknowledgeable,0.935,-0.958,0,0.949,0.947
acknowledged,acknowledged,0.683,-0.553,0,0.552,0.596
acknowledgement,acknowledgement,0.98,0.857,0,0.966,0.934
acknowledgment,acknowledgment,0.589,-0.55,0,0.706,0.615
acne,acne,-0.983,0,0.969,-0.955,-0.969
acne_medication,acne medication,-0.025,0,0,0.147,0.041
acned,acned,-0.85,0,0.804,-0.855,-0.836
acolyte,acolyte,-0.677,0,0.994,-0.503,-0.725
acorn_squash,acorn squash,-0.562,0,0.696,-0.964,-0.741
acoustic_aphasia,acoustic aphasia,-0.82,0,0.953,-0.878,-0.884
acoustic_power,acoustic power,-0.934,0,0.698,-0.857,-0.83
acquaint,acquaint,0.649,-0.619,0,0.723,0.664
acquire,acquire,-0.048,0.18,-0.094,0.247,0.095
acquire_goods,acquire goods,0,0.078,0,0.099,0.059
acquire_information,acquire information,0.383,0.246,-0.108,0.256,0.259
acquire_knowledge,acquire knowledge,0.719,0.757,0,0,0.492
acquire_wealth,acquire wealth,0.881,0.737,0,0.851,0.823
acquirement,acquirement,0.967,-0.699,0,0.52,0.729
acquisition,acquisition,0.679,-0.757,0,0.658,0.698
acquisitiveness,acquisitiveness,-0.5,0,0.939,-0.835,-0.758
acquit,acquit,0.799,-0.888,0,0.883,0.857
acre,acre,0,0.096,0.009,0.077,0.055
acreage,acreage,0,0.122,0,0.123,0.082
acres,acres,0.975,-0.789,0,0.969,0.911
acridity,acridity,-0.687,0,0.994,-0.549,-0.743
acridness,acridness,-0.687,0,0.994,-0.549,-0.743
acrobat,acrobat,0.754,0,0,0.861,0.538
acrobatic_feat,acrobatic feat,-0.687,0,0.545,-0.688,-0.64
acrobatic_stunt,acrobatic stunt,-0.819,0,0.618,-0.564,-0.667
acromegalic,acromegalic,-0.737,0,0.904,-0.531,-0.724
acromegaly,acromegaly,-0.762,0,0.571,-0.847,-0.727
acrophobia,acrophobia,0.998,-0.915,0,0.854,0.922
act,act,0.754,0,0,0.861,0.538
act_bored,act bored,-0.92,0,0,-0.906,-0.609
act_foolish,act foolish,-0.893,0,0.797,-0.958,-0.883
act_out,act out,-0.127,0,0,-0.09,-0.072
act_part,act part,0,0.069,-0.146,0.188,0.037
act_play,act play,0.861,0.928,0,0,0.596
act_quickly,act quickly,-0.092,0.104,0,0.099,0.037
act_silly,act silly,0.814,0,0,0,0.271
act_smart,act smart,0.814,0,0,0,0.271
act_stupid,act stupid,0.09,-0.006,0.01,-0.186,-0.033
act_up,act up,-0.161,0,-0.091,-0.037,-0.096
act_wisely,act wisely,0.506,0.659,-0.246,0.242,0.387
acting,acting,-0.108,0.124,0,0.059,0.025
acting_out,acting out,0.565,-0.792,0,0.959,0.772
actinic_dermatitis,actinic dermatitis,-0.726,0,0.778,-0.98,-0.828
actinotherapy,actinotherapy,0.789,-0.817,0,0.591,0.732
action,action,-0.103,0.074,-0.057,0.188,0.034
action_at_law,action at law,0.804,-0.993,0,0.507,0.768
action_figure,action figure,0,-0.128,0.01,0,0.039
action_movie,action movie,0,0.951,0,0,0.317
activate,activate,0.087,-0.015,0.021,0,0.027
activated,activated,0.766,-0.875,0,0.666,0.769
activating,activating,0.547,-0.692,0,0.52,0.586
activation_energy,activation energy,-0.909,0,0.748,-0.904,-0.854
active,active,-0.035,0.106,0,0.125,0.065
activeness,activeness,0.681,-0.935,0,0.78,0.799
activewear,activewear,-0.76,0,0.58,-0.507,-0.616
activist,activist,0.77,0,0,0.96,0.577
activity,activity,0,0.099,-0.061,0.231,0.09
actor,actor,0.075,0.078,-0.124,0.098,0.042
actors,actors,0.147,-0.037,-0.071,0,0.038
actress,actress,0.681,-0.572,0,0.632,0.628
actual,actual,0.032,0.205,-0.118,0.294,0.138
actual_eviction,actual eviction,-0.873,0,0.765,-0.828,-0.822
actus_reus,actus reus,-0.635,0,0.728,-0.588,-0.65
acuity,acuity,0.959,-0.976,0,0.633,0.856
acute_gastritis,acute gastritis,-0.959,0,0.729,-0.989,-0.892
acute_glossitis,acute glossitis,-0.638,0,0.961,-0.705,-0.768
acute_kidney_failure,acute kidney failure,-0.603,0,0.544,-0.539,-0.562
acute_renal_failure,acute renal failure,-0.603,0,0.544,-0.539,-0.562
acute_triangle,acute triangle,0.763,-0.612,0,0.777,0.717
adactylia,adactylia,-0.605,0,0.835,-0.506,-0.649
adactylism,adactylism,-0.605,0,0.835,-0.506,-0.649
adactyly,adactyly,-0.605,0,0.835,-0.506,-0.649
adagio,adagio,0.54,-0.575,0,0.678,0.598
adam_apple,adam apple,0,0.102,0,0,0.034
adam_eve,adam eve,0.04,0,0.04,0.094,0.031
adamance,adamance,-0.975,0,0.549,-0.978,-0.834
adamant,adamant,-0.806,0,0.507,-0.763,-0.692
adapt,adapt,-0.038,0.086,0,0.114,0.054
adaptability,adaptability,0.873,-0.943,0,0.74,0.852
add,add,0,0.145,0.056,0.197,0.095
add_flavor,add flavor,0.04,0,0,0.067,0.036
add_knowledge,add knowledge,0.757,0,0,0,0.252
add_number,add number,0,0.951,0,0,0.317
add_number_together,add number together,0,0.27,0.014,0.133,0.13
add_on,add on,0.846,-0.765,0,0.688,0.766
add_spice,add spice,0,-0.01,0.014,-0.102,-0.035
add_sugar,add sugar,0.046,-0.66,0,0.365,0.357
add_two_numbers,add two numbers,0,0.068,0,0,0.023
add_two_numbers_together,add two numbers together,-0.127,0.26,0,0.094,0.076
add_up_column_number,add up column number,0,0.083,0.039,0.074,0.039
add_up_number,add up number,0.04,0,0,0.067,0.036
added_value,added value,0,0.197,0.056,0.177,0.106
adder,adder,-0.96,0,0.865,-0.753,-0.859
addict,addict,-0.921,-0.815,0.972,0,-0.359
addicted,addicted,-0.752,0.288,-0.434,-0.058,-0.319
addicted_computer_games,addicted computer games,-0.969,0,0.172,-0.997,-0.713
addiction,addiction,-0.766,0,0,-0.95,-0.572
addictive,addictive,-0.774,0,0.776,-0.8,-0.783
addition,addition,-0.034,0.214,0.043,0.209,0.115
addle,addle,-0.569,0,0.738,-0.615,-0.641
addlehead,addlehead,-0.997,0,0.804,-0.523,-0.775
address,address,0.038,0,0,0.097,0.045
address_book,address book,0.038,0,0,0.097,0.045
address_envelope,address envelope,-0.127,0,0,-0.068,-0.065
address_label,address label,0.058,-0.049,0,0,0.036
adenoma,adenoma,-0.704,0,0.639,-0.56,-0.634
adenosis,adenosis,-0.978,0,0.949,-0.536,-0.821
adenozine,adenozine,-0.024,0,0.022,0.137,0.03
adeptness,adeptness,0.703,-0.8,0,0.691,0.731
adequacy,adequacy,-0.997,0,0.878,-0.957,-0.944
adequate,adequate,0.889,-0.904,0,0.559,0.784
adequate_to,adequate to,0.889,-0.904,0,0.559,0.784
adequateness,adequateness,-0.997,0,0.878,-0.957,-0.944
adhere,adhere,0.105,-0.178,0.057,0.079,0.102
adhesion_contract,adhesion contract,0.865,-0.844,0,0.915,0.875
adhesive,adhesive,0.038,-0.041,0.059,0.139,0.053
adhesive_bandage,adhesive bandage,0,-0.026,0,-0.184,-0.053
adiabatic_process,adiabatic process,-0.643,0,0.938,-0.521,-0.701
adience,adience,-0.637,0,0.677,-0.948,-0.754
adipic_acid,adipic acid,-0.652,0,0.935,-0.968,-0.852
adjoin,adjoin,-0.748,0,0.627,-0.589,-0.655
adjust,adjust,0.033,0.234,-0.084,0.274,0.152
adjust_clothes,adjust clothes,-0.091,0,0,-0.063,-0.051
adjust_seat,adjust seat,0,0.098,0,0.107,0.068
adjust_volume,adjust volume,0.177,-0.143,0.054,-0.161,0.035
adjust_water_temperature,adjust water temperature,-0.091,0,0,0,-0.03
adjustable,adjustable,0.102,0.078,0,0.087,0.089
adjustable_wrench,adjustable wrench,0,0.098,0,0.107,0.068
adjusted,adjusted,-0.623,0,0.657,-0.955,-0.745
adjustment,adjustment,0.735,-0.714,0,0.566,0.672
administrable,administrable,0.5,-0.9,0,0.525,0.642
administration,administration,0.039,0.145,0,0.142,0.109
administrative_district,administrative district,0.858,-0.891,0,0.719,0.823
administrative_division,administrative division,0.858,-0.891,0,0.719,0.823
administrator,administrator,-0.801,0,0.522,-0.83,-0.718
admirable,admirable,0.575,0.636,-0.268,0.318,0.42
admirably,admirably,0.575,0.636,-0.268,0.318,0.42
admiral,admiral,0.688,-0.908,0,0.877,0.824
admiration,admiration,0,0,0,1,0.333
admire,admire,0,0,0,0.705,0.235
admired,admired,0.59,-0.815,0,0.571,0.659
admirer,admirer,0.814,-0.508,0,0.622,0.648
admission,admission,0,0.175,-0.13,0.204,0.083
admit,admit,0,0,0,0.852,0.284
admonishing,admonishing,-0.74,0,0.982,-0.819,-0.847
admonishment,admonishment,0.609,-0.686,0,0.951,0.749
adobe,adobe,0.962,-0.703,0,0.522,0.729
adobe_brick,adobe brick,0.962,-0.703,0,0.522,0.729
adolescence,adolescence,0,0.788,0,0.86,0.549
adolescent,adolescent,0.029,0.076,0,0,0.035
adopt,adopt,0,0.177,-0.225,0.158,0.037
adopt_child,adopt child,0.793,0,0,0.845,0.546
adorable,adorable,0.936,-0.815,0,0.83,0.86
adorably,adorably,0.494,0.673,-0.269,0.25,0.383
adoration,adoration,0.732,0.868,0,0.762,0.787
adore,adore,0.191,0,-0.251,0.397,0.112
adoring,adoring,0.524,0.681,-0.278,0.281,0.403
adorn,adorn,0.053,-0.013,-0.052,0.121,0.045
adorned,adorned,0.613,-0.532,0,0.932,0.692
adornment,adornment,0.059,0,0,0.161,0.073
adrenal_cortical_steroid,adrenal cortical steroid,-0.547,0,0.977,-0.558,-0.694
adrenalin,adrenalin,0.672,-0.552,0,0.992,0.739
adrenaline,adrenaline,0.958,-0.724,0,0.72,0.801
adrenergic,adrenergic,0.887,-0.9,0,0.852,0.88
adrenergic_drug,adrenergic drug,0.601,-0.667,0,0.827,0.698
adrenocorticotrophic,adrenocorticotrophic,0.95,-0.951,0,0.769,0.89
adrenocorticotropic,adrenocorticotropic,0.95,-0.951,0,0.769,0.89
adrift,adrift,-0.997,0,0.658,-0.736,-0.797
adroit,adroit,0.738,-0.965,0,0.727,0.81
adroitness,adroitness,0.966,-0.879,0,0.78,0.875
ads,ads,0.08,0.153,-0.125,0.224,0.111
adscititious,adscititious,-0.732,0,0.899,-0.765,-0.799
adulate,adulate,0.819,-0.837,0,0.962,0.873
adult,adult,0.72,0,0,0.879,0.533
adult_drink,adult drink,-0.27,0,-0.293,0,-0.188
adult_person,adult person,0.082,0.221,-0.35,0.245,0.066
adulterate,adulterate,-0.897,0,0.89,-0.775,-0.854
adulteration,adulteration,0.693,-0.641,0,0.895,0.743
adulterer,adulterer,-0.544,0,0.691,-0.966,-0.734
adulteress,adulteress,-0.544,0,0.691,-0.966,-0.734
adultery,adultery,-0.27,0,-0.293,0,-0.188
advance,advance,-0.072,0.227,-0.131,0.203,0.076
advance_battle,advance battle,0,-0.039,0,-0.115,-0.025
advance_career,advance career,0,0.197,0.056,0.177,0.106
advance_civilization,advance civilization,0,0.08,0,0.117,0.066
advance_knowledge,advance knowledge,0.044,0.297,-0.253,0.281,0.123
advance_next_level,advance next level,0.706,0,0,0.712,0.473
advancement,advancement,0.856,0,0,0.963,0.606
advantage,advantage,0.733,0.991,0,0.843,0.856
advantageous,advantageous,0.53,-0.559,0,0.912,0.667
advantageousness,advantageousness,0.854,-0.794,0,0.977,0.875
adventitious,adventitious,-0.732,0,0.899,-0.765,-0.799
adventure,adventure,0.072,0,-0.169,0.177,0.027
adventurer,adventurer,0.703,0.913,0,0.701,0.772
adventuresome,adventuresome,0.706,-0.87,0,0.968,0.848
adventurism,adventurism,0.828,-0.675,0,0.811,0.771
adventurous,adventurous,0.626,-0.787,0,0.611,0.675
adversative,adversative,-0.668,0,0.502,-0.796,-0.655
adversity,adversity,-0.165,0.131,-0.283,0,-0.106
advert,advert,-0.978,0,0.692,-0.641,-0.77
advertise_company,advertise company,0.856,0,0,0.963,0.606
advertise_panel,advertise panel,0.087,0.08,0.013,0,0.051
advertise_product,advertise product,0.866,0,0,0,0.289
advertisement,advertisement,0.031,-0.006,0.016,-0.089,-0.023
advertisment,advertisment,-0.023,0,-0.101,0,-0.041
advice,advice,0.986,0,0,0.862,0.616
advise,advise,-0.032,0.315,-0.169,0.261,0.125
advisory,advisory,0.795,-0.977,0,0.679,0.817
advocate,advocate,0.677,-0.529,0,0.714,0.64
advocator,advocator,0.677,-0.529,0,0.714,0.64
aeonian,aeonian,-0.954,0,0.808,-0.613,-0.792
aerial,aerial,0.16,0.067,0,0.083,0.103
aerial_bomb,aerial bomb,0,-0.045,0,-0.208,-0.054
aerobic_exercise,aerobic exercise,0,0.08,0,0.117,0.066
aeroplane,aeroplane,-0.048,0.105,-0.061,0.115,0.037
aesthesia,aesthesia,0.638,-0.996,0,0.631,0.755
aesthesis,aesthesis,-0.586,0,0.568,-0.973,-0.709
aesthetic,aesthetic,0.737,-0.854,0,0.623,0.738
aesthetical,aesthetical,0.596,-0.64,0,0.945,0.727
aesthetics,aesthetics,0.074,0.138,0,0.104,0.105
afar,afar,-0.853,0,0,-0.734,-0.529
affability,affability,0.593,-0.658,0,0.711,0.654
affableness,affableness,0.747,-0.971,0,0.917,0.878
affair,affair,0.082,0.221,-0.35,0.245,0.066
affaire,affaire,0.692,-0.992,0,0.614,0.766
affect,affect,0.884,0,0,0.811,0.565
affected,affected,0.854,-0.845,0,0.679,0.793
affectedness,affectedness,-0.562,0,0.757,-0.991,-0.77
affection,affection,0.826,0.945,0,0.796,0.856
affectional,affectional,0.461,0.674,-0.262,0.247,0.373
affectionate,affectionate,0.223,0.642,-0.247,0.131,0.25
affectionateness,affectionateness,0.461,0.674,-0.262,0.247,0.373
affective,affective,0.461,0.674,-0.262,0.247,0.373
affective_disorder,affective disorder,-0.618,0,0.934,-0.628,-0.727
affinity,affinity,-0.886,0,0.813,-0.578,-0.759
affirm,affirm,0.854,-0.703,0,0.912,0.823
affirmation,affirmation,0.731,0,0,0.96,0.564
affirmative,affirmative,0.585,0.652,-0.268,0.313,0.427
affirmativeness,affirmativeness,0.604,-0.576,0,0.935,0.705
